Name,IQ,Merit,Language,Age,Happiness
Sergey,105.24009728540364,8.565130350040969,C++,40,True
Alexey,118.88845556184081,9.562736096751262,C#,43,False
Sergey,107.77511542506127,10.555417847521797,Python,46,False
Sergey,131.8468042509776,10.732687773509355,C++,33,True
Sergey,117.46000420334394,9.028465435299376,C++,38,True
Sergey,122.81630709885849,10.352789705109357,C++,45,True
Sergey,84.69789531816693,8.714490180906605,Python,37,False
Sergey,96.24095255867527,11.635631708840622,C#,41,False
Alexey,86.56257033089409,9.418934271751038,Java,50,True
Sergey,124.56324623966745,10.242379842396259,C++,30,True
Sergey,118.44939888186565,8.59369522745853,C++,39,True
Maxim,118.53213722519385,9.828800910047635,C++,52,True
Anton,77.60436280476932,13.263058193963904,C++,45,True
Sergey,90.40561693223987,8.93233051020823,Java,31,True
Sergey,117.13269088900024,8.911417979004954,Rust,52,False
Sergey,101.32167842813509,8.272553955783863,Brainfuck,40,True
Anton,72.97135165106714,11.906790609779586,Python,38,False
Sergey,90.27336254010659,8.296561899616957,JavaScript,39,False
Vladimir,102.67245664323207,9.595778939550375,C++,43,True
Sergey,90.72734709276651,8.581622309424663,Brainfuck,33,True
Sergey,101.06941973923671,9.39069358390203,Java,50,True
Sergey,102.18510320493765,10.442650901306529,Java,32,True
Sergey,100.85726660609627,11.59895362079589,C#,53,False
Sergey,86.69319826082594,8.46277904945849,C++,42,True
Sergey,90.81461219330329,9.765966313774845,Java,40,True
Sergey,97.24815703089608,10.678822923970637,C#,40,False
Sergey,99.33794184216327,10.980030500211598,Java,36,True
Sergey,123.54529897949193,10.602127349760618,Python,46,False
Sergey,106.87062854043792,8.97816714647023,Rust,40,False
Maxim,147.12958672303267,10.334417913729027,Pascal,39,False
Sergey,52.50519880045212,7.848867011350695,Java,43,False
Sergey,71.85042618686215,9.867675185657482,Java,44,True
Sergey,115.11722900230568,9.139663396167323,Scala,43,False
Stepan,75.50706053747437,11.085667434224082,Java,38,True
Maxim,91.33061235809981,9.46037675572859,Rust,31,False
Sergey,118.48178743473355,9.121973864821335,JavaScript,31,False
Sergey,139.34562239799845,9.949672511916457,Java,37,True
Alexey,71.946457489323,10.310695060785651,Brainfuck,34,True
Maxim,148.203880738489,8.973523442085023,Java,45,True
Anton,106.06232603848153,10.03214774201601,Pascal,47,False
Sergey,122.08104673694402,9.773894791002743,Rust,43,False
Sergey,124.32439928569396,9.664352121013767,Python,36,False
Anton,131.379201983735,9.889505851857328,Python,33,False
Sergey,121.24917772059256,8.210528408192433,Python,36,False
Alexey,88.50499827754068,10.308114174834174,Kotlin,45,True
Sergey,77.7921164071504,8.33117672112786,Brainfuck,48,True
Sergey,117.1675736167663,10.473561898068839,Java,47,True
Sergey,135.7149104354139,8.481566610027837,Brainfuck,45,True
Stepan,57.10349647894364,10.968879310187203,Java,38,True
Stepan,96.91838453521204,10.286592976431788,Pascal,33,False
Sergey,108.43291298918024,9.444053825224815,Java,35,True
Sergey,86.0870037796313,9.77894499117215,Kotlin,37,True
Sergey,125.96198969469478,9.082725564194492,JavaScript,40,False
Sergey,79.02194153502379,11.002823130283911,Java,42,True
Alexey,84.51303605735482,9.504079860362221,Java,29,True
Sergey,107.12804501698349,11.085296074666605,Rust,41,False
Sergey,63.59791812957782,8.907917643756353,C++,41,False
Maxim,87.89414305607586,9.67932425731635,Python,38,False
Alexey,93.95880490247697,8.918356584670736,Rust,38,False
Stepan,69.94802723949077,8.04726107230906,C#,52,False
Sergey,115.40180998645707,9.759276279933891,Brainfuck,34,True
Sergey,108.07227316347506,9.586158436071484,Pascal,43,False
Sergey,132.45100237541806,9.748040557258985,Java,32,True
Alexey,128.62675206454333,7.759583357318904,Kotlin,43,True
Maxim,103.4503479707131,9.759964784100143,Java,42,True
Maxim,116.30884396513348,11.20006074106791,C#,50,False
Sergey,76.77015734311324,10.015676171582317,Java,48,True
